"N1","N2","S1","S2","W1","W2","E1","E2","NW","NE","SW","SE","move"
free,free,out_zone,out_zone,free,ally,free,ally,free,free,out_zone,out_zone,MOVE_N
free,free,out_zone,out_zone,free,obstacle,free,free,free,free,out_zone,out_zone,MOVE_E
free,trap,out_zone,out_zone,free,free,free,obstacle,free,free,out_zone,out_zone,MOVE_W
out_zone,out_zone,free,free,free,ally,free,ally,out_zone,out_zone,free,free,MOVE_S
out_zone,out_zone,free,free,free,free,free,obstacle,out_zone,out_zone,free,free,MOVE_W
out_zone,out_zone,free,trap,free,obstacle,free,free,out_zone,out_zone,free,free,MOVE_E
free,ally,free,ally,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_W
free,free,free,obstacle,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_N
free,obstacle,free,free,free,trap,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_S
free,ally,free,ally,out_zone,out_zone,free,free,out_zone,free,out_zone,free,MOVE_E
free,obstacle,free,free,out_zone,out_zone,free,free,out_zone,free,out_zone,free,MOVE_S
free,free,free,obstacle,out_zone,out_zone,free,trap,out_zone,free,out_zone,free,MOVE_N
free,trap,free,out_zone,free,free,free,free,free,free,ally,ally,MOVE_W
ally,free,out_zone,out_zone,free,free,free,ally,free,free,out_zone,out_zone,MOVE_N
free,free,out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,MOVE_W
free,out_zone,free,trap,free,free,free,free,ally,ally,free,free,MOVE_E
out_zone,out_zone,ally,free,free,ally,free,free,out_zone,out_zone,free,free,MOVE_S
out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,free,free,MOVE_E
free,free,free,free,free,trap,free,out_zone,free,ally,free,ally,MOVE_S
free,ally,free,free,ally,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_W
free,free,free,free,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_S
free,free,free,free,free,out_zone,free,trap,ally,free,ally,free,MOVE_N
free,free,free,ally,out_zone,out_zone,ally,free,out_zone,free,out_zone,free,MOVE_E
free,free,free,free,out_zone,out_zone,free,free,out_zone,free,out_zone,free,MOVE_N
ally,free,free,out_zone,free,free,free,free,free,free,free,ally,MOVE_N
free_r,free_r,ally,free,free,free,trap,free,trap,free_r,free,free,MOVE_N
free,free,out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,MOVE_W
free,out_zone,ally,free,free,free,free,free,ally,free,free,free,MOVE_S
ally,free,free_r,free_r,trap,free,free,free,free,free,free_r,trap,MOVE_S
out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,free,free,MOVE_E
free,free,free,free,ally,free,free,out_zone,free,ally,free,free,MOVE_W
trap,free,free,free,free_r,enemy_r,ally,free,enemy_r,free,trap,free,ATK_NW
free,free,free,free,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_S
free,free,free,free,free,out_zone,ally,free,free,free,ally,free,MOVE_E
free,free,trap,free,ally,free,free_r,enemy_r,free,trap,free,enemy_r,ATK_SE
free,free,free,free,out_zone,out_zone,free,free,out_zone,free,out_zone,free,MOVE_N
free,enemy_r,free,ally,free,trap,free,free,free,trap,free,free,MOVE_N
free,free,out_zone,out_zone,free,free,ally,free,free,free,out_zone,out_zone,MOVE_N
free,ally,free,enemy_r,free,free,free,trap,free,free,trap,free,MOVE_S
out_zone,out_zone,free,free,ally,free,free,free,out_zone,out_zone,free,free,MOVE_S
enemy,free,free_r,trap,free_r,free,trap,free,trap,free,enemy_r,free,ATK_SW
free,free,free,trap,free,free_r,free,ally,trap,free,free,free,MOVE_W
free,free,free,free,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_W
free,trap,free,free,free,ally,free,free_r,free,free,free,trap,MOVE_E
free,free,ally,free,out_zone,out_zone,free,free,out_zone,free,out_zone,free,MOVE_E
enemy_r,free_r,free,ally,free,free,trap,free,trap,free_r,free,free,MOVE_N
free,free,free,out_zone,free,free,free,free,free,free,free,ally,MOVE_N
free,free,out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,MOVE_W
free,ally,free_r,free_r,trap,free,free,free,free,free,enemy_r,trap,ATK_SW
free,out_zone,free,free,free,free,free,free,ally,free,free,free,MOVE_S
out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,free,free,MOVE_E
trap,free,free,free,free_r,enemy_r,free,ally,free_r,free,trap,free,MOVE_W
free,free,free,free,free,free,ally,out_zone,free,free,free,free,MOVE_W
free,free,trap,free,free,ally,enemy_r,free_r,free,trap,free,enemy_r,ATK_SE
free,free,free,free,free,out_zone,free,free,free,free,ally,free,MOVE_E
free,free,free,free,out_zone,out_zone,free,free,out_zone,free,out_zone,free,MOVE_N
free,enemy_r,free,ally,free,trap,free,free,free,trap,free,free,MOVE_N
free,free,out_zone,out_zone,free,free,ally,free,free,free,out_zone,out_zone,MOVE_N
trap,free,enemy_r,enemy,free,enemy,free_r,trap,free,free,trap,enemy_r,ATK_SE
free,ally,free,free_r,free,free,free,trap,free,free,trap,free,MOVE_S
out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,free,free,MOVE_S
free,free,free,trap,free,enemy_r,free,ally,trap,free,free,free,MOVE_W
ally,free,free,free,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_W
free_r,trap,enemy,free,trap,free,enemy_r,enemy,free,free_r,free,trap,MOVE_E
free,trap,free,free,free,ally,free,free_r,free,free,free,trap,MOVE_E
free,free,free,free,out_zone,out_zone,free,free,out_zone,free,out_zone,free,MOVE_E
free_r,free_r,free,ally,free,free,trap,free,trap,enemy_r,free,free,ATK_NE
